"","zip","city","state","latitude","longitude"
"230","00987","Carolina","PR",18.372228,-65.96275
"231","00988","Carolina","PR",18.393355,-65.972495
"232","01001","Agawam","MA",42.07061,-72.62029
"233","01002","Amherst","MA",42.377651,-72.50323
"234","01003","Amherst","MA",42.369562,-72.63599
"235","01004","Amherst","MA",42.384494,-72.513183
"236","01005","Barre","MA",42.412094,-72.10443
"237","01007","Belchertown","MA",42.278424,-72.411
"238","01008","Blandford","MA",42.174313,-72.94828
"239","01009","Bondsville","MA",42.206092,-72.340486
"240","01010","Brimfield","MA",42.126038,-72.20552
"241","01011","Chester","MA",42.271442,-73.01958
"242","01012","Chesterfield","MA",42.390836,-72.84356
"243","01013","Chicopee","MA",42.161492,-72.60316
"244","01014","Chicopee","MA",42.170731,-72.604842
"245","01020","Chicopee","MA",42.175992,-72.57265
"246","01021","Chicopee","MA",42.170731,-72.604842
"247","01022","Chicopee","MA",42.196666,-72.55606
"248","01026","Cummington","MA",42.465041,-72.91813
"249","01027","Easthampton","MA",42.27279,-72.68677
"250","01028","East Longmeadow","MA",42.066795,-72.5102
"251","01029","East Otis","MA",42.175896,-73.04204
"252","01030","Feeding Hills","MA",42.070774,-72.67248
"253","01031","Gilbertville","MA",42.33071,-72.18833
"254","01032","Goshen","MA",42.45792,-72.81551
"255","01033","Granby","MA",42.254563,-72.51831
"256","01034","Granville","MA",42.086224,-72.94464
"257","01035","Hadley","MA",42.35549,-72.5733
"258","01036","Hampden","MA",42.064703,-72.41735
"259","01037","Hardwick","MA",42.374202,-72.19524
"260","01038","Hatfield","MA",42.375155,-72.60832
"261","01039","Haydenville","MA",42.381475,-72.69259
"262","01040","Holyoke","MA",42.201891,-72.6242
"263","01041","Holyoke","MA",42.170731,-72.604842
"264","01050","Huntington","MA",42.290209,-72.87942
"265","01053","Leeds","MA",42.353105,-72.70206
"266","01054","Leverett","MA",42.479839,-72.49879
"267","01056","Ludlow","MA",42.174893,-72.47068
"268","01057","Monson","MA",42.089269,-72.317
"269","01059","North Amherst","MA",42.369562,-72.63599
"270","01060","Northampton","MA",42.324539,-72.63561
"271","01061","Northampton","MA",42.369562,-72.63599
"272","01062","Florence","MA",42.324232,-72.67915
"273","01063","Northampton","MA",42.317939,-72.640234
"274","01066","North Hatfield","MA",42.406697,-72.633901
"275","01068","Oakham","MA",42.349769,-72.04413
"276","01069","Palmer","MA",42.176401,-72.32646
"277","01070","Plainfield","MA",42.515853,-72.91661
"278","01071","Russell","MA",42.165931,-72.85153
"279","01072","Shutesbury","MA",42.486027,-72.42208
"280","01073","Southampton","MA",42.223885,-72.72777
"281","01074","South Barre","MA",42.375998,-72.149388
"282","01075","South Hadley","MA",42.234891,-72.58243
"283","01077","Southwick","MA",42.05283,-72.76966
"284","01079","Thorndike","MA",42.192892,-72.329574
"285","01080","Three Rivers","MA",42.180563,-72.36518
"286","01081","Wales","MA",42.058024,-72.22517
"287","01082","Ware","MA",42.270611,-72.26067
"288","01083","Warren","MA",42.20468,-72.20259
"289","01084","West Chesterfield","MA",42.379807,-72.89043
"290","01085","Westfield","MA",42.133642,-72.75029
"291","01086","Westfield","MA",42.173428,-72.847964
"292","01088","West Hatfield","MA",42.388831,-72.6321
"293","01089","West Springfield","MA",42.112793,-72.64066
"294","01090","West Springfield","MA",42.170731,-72.604842
"295","01092","West Warren","MA",42.210777,-72.23904
"296","01093","Whately","MA",42.442673,-72.652511
"297","01094","Wheelwright","MA",42.358201,-72.140846
"298","01095","Wilbraham","MA",42.12531,-72.44057
"299","01096","Williamsburg","MA",42.415236,-72.78271
"300","01097","Woronoco","MA",42.161743,-72.845912
"301","01098","Worthington","MA",42.399054,-72.93871
"302","01101","Springfield","MA",42.170731,-72.604842
"303","01102","Springfield","MA",42.170731,-72.604842
"304","01103","Springfield","MA",42.103294,-72.59112
"305","01104","Springfield","MA",42.130343,-72.57338
